stop_id,stop_code,stop_name,stop_lat,stop_lon
6342,04,"Główna",52.0391670000,20.9952460000
41,01,"Wagonownia",52.2145750000,20.9303450000
8865,02,"Cm. Północny-Brama Płn.",52.3046850000,20.9072480000
302,02,"Wróbla",52.1735130000,21.0307230000
4195,01,"Bobrowiecka",52.0581230000,20.9735710000
1190,06,"Stare Bemowo",52.2582380000,20.8983140000
3227,01,"Osiedlowa",52.2639750000,20.8248400000
5880,02,"Brzozowa",52.4303330000,20.8777160000
344,01,"Szolc-Rogozińskiego",52.1499160000,21.0532640000
7989,00,"R2(P)",52.2551990000,21.0539410000
7598,09,"Centrum",52.2296870000,21.0111460000
6837,02,"Chmielna",52.2331030000,21.0147590000
6661,02,"Sowia Wola Folwarczna",52.3662650000,20.6295410000
2816,01,"Ogrody Działkowe Bemowo",52.2692760000,20.9331840000
7548,06,"Park Dreszera",52.1970160000,21.0241590000
2571,02,"Krokusów",52.1526340000,21.1872060000
8764,01,"Banacha-Szpital",52.2096240000,20.9874180000
4279,02,"Łazy-Szkoła",52.0760880000,20.8908850000
773,01,"Noakowskiego",52.2228230000,21.0076990000
92,04,"Sasanki",52.1840580000,20.9777250000
1533,07,"Szwedzka",52.2610200000,21.0461480000
9003,04,"Pl. Trzech Krzyży",52.2305300000,21.0217350000
9068,06,"Rondo Waszyngtona",52.2379360000,21.0509210000
4455,02,"Przemysłowa",52.4297130000,21.1566910000
4585,02,"Tadżycka",52.1940340000,21.1623190000
6590,01,"Łąkowa",52.0006090000,21.0449470000
7770,02,"Czapelska",52.2446590000,21.0918730000
101,01,"Niemcewicza",52.2212660000,20.9839320000
3912,02,"Jerzego",52.2682800000,21.1702490000
3286,02,"Żanęcin",52.1534440000,21.3260240000
1602,02,"Grabina",52.3656300000,21.0284040000
1283,01,"Piaski",52.2719030000,20.9445810000
1962,02,"Trakt Lubelski",52.2281670000,21.1406530000
1892,01,"Łubinowa",52.2604570000,21.0946090000
2839,03,"Ogród Botaniczny",52.1049790000,21.0927170000
3415,05,"Domaniewska",52.1832450000,21.0032120000
3370,02,"Nowotyska",52.1971610000,20.8936990000
5435,02,"Czarna",52.3691030000,21.2254950000
6786,06,"Winnica",52.3400130000,20.9467130000
2076,02,"Marsa-Las",52.2477880000,21.1431910000
7624,06,"Stawki",52.2507000000,20.9859650000
2329,01,"Borków",52.1898110000,21.1407290000
1447,01,"Marymont-Potok",52.2745300000,20.9815340000
1579,01,"Polnych Kwiatów",52.3498680000,20.9777110000
3507,01,"PKP Michalin",52.1482450000,21.2239990000
9345,03,"Radomska",52.0523740000,20.9033520000
7035,02,"Długa",52.0783880000,21.0680930000
2069,02,"Korkowa-Cmentarz",52.2417330000,21.1652940000
3625,02,"Jadwisin",52.1946870000,20.9671290000
529,02,"Gołkowska",52.1930490000,21.0583570000
8780,12,"P+R Al. Krakowska",52.1755050000,20.9435040000
3484,02,"Wenecka",52.3568850000,21.1332080000
5889,16,"Dw. Wschodni (Kijowska)",52.2542570000,21.0555200000
2321,02,"Dzielnicowa",52.2221000000,21.1380230000
8270,02,"Przytorowa",52.3624160000,21.2758410000
2407,02,"Ogrody Działkowe Na Skraju",52.1562230000,20.9598030000
3210,01,"Nowa",52.0827990000,21.0033780000
657,06,"Ciszewskiego",52.1585940000,21.0498730000
6819,05,"Ostroroga",52.2477720000,20.9650920000
3666,02,"Buków",52.3564700000,20.9409640000
14,02,"Instalatorów-KAM",52.1986380000,20.9565970000
2603,02,"Świdry Wielkie",52.1059240000,21.2349150000
4787,01,"Pogroszew",52.2308570000,20.7452930000
5946,02,"Drewnicka",52.3119970000,21.1331060000
224,02,"Wyścigi",52.1668760000,21.0181030000
6301,02,"Ładna",52.0442200000,20.9521030000
3518,03,"Metro Imielin",52.1501630000,21.0447820000
4097,01,"PKP Michałów-Reginów",52.4191990000,20.9636700000
2633,02,"Wiosenna",52.2496980000,21.2399300000
5192,03,"Nowodwory",52.3324440000,20.9406180000
1763,06,"Bródno-Podgrodzie",52.3001430000,21.0417610000
3374,03,"Ruskowy Bród",52.3607550000,21.0533220000
8406,76,"Sielce",52.2069760000,21.0471880000
5949,02,"Mickiewicza",52.3060550000,21.1576670000
7500,01,"PKP Nowy Dwór Mazowiecki",52.4251260000,20.7240130000
2915,01,"Skoroszewska",52.1934960000,20.9037790000
498,04,"Dolina Służewiecka",52.1756380000,21.0429690000
5566,01,"Długosza",52.2409910000,20.9704510000
607,02,"Konduktorska",52.2006900000,21.0297630000
9769,04,"Borzęcin Duży",52.2525640000,20.7350200000
7657,04,"Zajezdnia Wola",52.2351100000,20.9735580000
3241,02,"Cmentarz",52.2510540000,20.8469060000
8041,14,"Metro Młociny",52.2919390000,20.9300380000
3090,02,"Hetmańska",52.2450740000,21.1098940000
7780,04,"Międzyborska",52.2457910000,21.0760550000
187,01,"Pl. Starynkiewicza",52.2260230000,20.9945850000
1645,01,"Piaskowa",52.3692500000,20.9297700000
3159,02,"Poznańska",52.2113150000,20.7636000000
2382,02,"Motylkowa",52.2008840000,21.1495670000
7061,02,"Janów-Mikołajówka",52.3714540000,20.6585880000
7602,05,"Królewska",52.2386200000,21.0063640000
1665,02,"Atrakcyjna",52.3321390000,21.0559440000
5711,03,"Młynarska",52.2377810000,20.9716760000
5253,01,"IX Poprzeczna",52.2127200000,21.1661400000
9291,02,"Stogi",52.3381560000,21.0537950000
2377,01,"Spadowa",52.2236140000,21.1393540000
2649,01,"Terespolska",52.2189720000,21.3010650000
453,01,"Metro Wilanowska",52.1815200000,21.0220300000
4421,03,"Rybna",52.0493100000,20.9335700000
2322,02,"Klimontowska",52.2181510000,21.1343490000
675,01,"Zalesinek",52.0518160000,20.9987310000
3576,06,"Znana",52.2340780000,20.9258590000
4333,02,"Czernidła",52.0891220000,21.1899370000
9525,02,"Harcerska",52.1736500000,20.8399100000
1179,02,"Os. Górczewska",52.2405330000,20.8969580000
8336,01,"Goworka",52.2110670000,21.0224950000
4731,02,"Zapustna",52.1944760000,20.9096950000
5738,01,"Leśna",52.4184660000,20.7380870000
3155,02,"Przyleśna",52.3857520000,21.0302510000
1751,02,"Suwalska",52.2961230000,21.0329850000
1792,03,"Bazyliańska",52.2919200000,21.0181210000
7161,01,"Maszynowa",52.2028110000,20.9494130000
6028,05,"Fort Wola",52.2229570000,20.9302130000
305,01,"Arbuzowa",52.1675940000,21.0437920000
4718,01,"Dzika",52.2791840000,21.1246640000
1594,02,"Zaplecze",52.3188110000,21.0199600000
8382,03,"Urząd Gminy",51.9398900000,20.9562130000
3828,01,"Dworkowa",52.3719620000,20.9343430000
2446,01,"Stadion",52.1505310000,20.9292130000
7742,04,"Bohomolca",52.2724490000,20.9834550000
9688,02,"Drwęcka",52.2541780000,21.0772580000
2840,02,"Ogród Botaniczny",52.1049480000,21.0979760000
8544,80,"Grodzisk Mazowiecki",52.1665034216,20.7983719770
7785,01,"Czapelska",52.2448310000,21.0912330000
7914,03,"Aspekt",52.2784440000,20.9332000000
7609,01,"KS Polonia",52.2557870000,20.9987680000
5497,02,"Leśniakowizna",52.3173040000,21.2708580000
7696,03,"Gen. Zajączka",52.2620600000,20.9928860000
3643,04,"Spisaka",52.1905930000,20.8836030000
4351,02,"Cedrowa",52.0707900000,21.0994380000
1211,01,"Deotymy",52.2469550000,20.9471150000
9764,51,"Rzemieślnicza",52.1120730000,21.2582860000
8148,01,"Wiosenna",52.3691040000,21.2851810000
9574,51,"Podróżna-Pętla",52.3648680000,20.8362200000
468,01,"Grabów",52.1467200000,21.0174500000
5552,02,"Twardowska",52.2859530000,20.9539090000
6693,02,"Cicha",52.3842870000,20.7523820000
918,06,"Pl. Na Rozdrożu",52.2196440000,21.0260350000
4436,02,"Nadarzyńska",52.0727750000,21.0231570000
9711,05,"Vogla",52.1590330000,21.0854590000
3993,02,"Jarosławska",52.1302600000,21.2400900000
4275,01,"Janczewice",52.1104550000,20.9315820000
6539,01,"Nadma",52.3618740000,21.1662840000
2853,04,"Al. Witosa",52.1980520000,21.0529870000
3199,01,"Władysławów",52.0633240000,20.9207540000
7614,06,"Muzeum Narodowe",52.2319450000,21.0216330000
7513,01,"Lipowczana",52.1832740000,20.9515960000
230,02,"Łagiewnicka",52.1284280000,21.0182790000
7858,12,"PKP Służewiec",52.1818290000,20.9887980000
6206,01,"Stara Miłosna (Ułańska)",52.2207960000,21.2431480000
3186,01,"Lesznowola",52.0912180000,20.9336310000
3197,01,"Polna",52.0656130000,20.9277660000
8981,01,"Wólka Dworska-Wisła",52.0182620000,21.2197970000
6824,02,"Werbeny",52.0064571600,20.9588585900
1628,02,"Gryfitów",52.3042130000,21.0299450000
2541,03,"Falenica",52.1593640000,21.2046820000
2675,02,"Parkowa",52.2150320000,20.7742360000
2423,02,"Falencka",52.1379000000,20.9018000000
2248,02,"Klasztorna",52.2548210000,21.1619050000
