rowkey,dt,hour,line,avg_time_diff_minutes,measurement_count,total_time_diff
20260110_19_111,20260110,19,111,4.14,7,29.0
20260110_19_115,20260110,19,115,8.38,12,100.59
20260110_19_119,20260110,19,119,3.79,4,15.15
20260110_19_123,20260110,19,123,4.42,5,22.09
20260110_19_125,20260110,19,125,4.49,62,278.58
20260110_19_143,20260110,19,143,2.37,24,56.8
20260110_19_145,20260110,19,145,1.77,5,8.86
20260110_19_146,20260110,19,146,0.86,3,2.57
20260110_19_147,20260110,19,147,4.95,12,59.46
20260110_19_156,20260110,19,156,6.0,10,60.0
20260110_19_172,20260110,19,172,5.2,2,10.4
20260110_19_173,20260110,19,173,5.88,30,176.25
20260110_19_183,20260110,19,183,2.97,5,14.87
20260110_19_190,20260110,19,190,4.52,17,76.89
20260110_19_211,20260110,19,211,3.95,25,98.64
20260110_19_509,20260110,19,509,3.09,6,18.53
20260110_19_514,20260110,19,514,6.69,15,100.28
20260110_19_516,20260110,19,516,8.65,7,60.53
20260110_19_520,20260110,19,520,2.59,39,100.92
20260110_19_521,20260110,19,521,8.34,46,383.48
20260110_19_525,20260110,19,525,5.64,3,16.93
20260110_19_702,20260110,19,702,27.92,3,83.76
20260110_19_723,20260110,19,723,4.35,1,4.35
20260110_19_L-1,20260110,19,L-1,27.8,3,83.4
20260110_19_L-3,20260110,19,L-3,47.18,2,94.36
20260110_19_L34,20260110,19,L34,7.14,2,14.28
